id,type,grapheme,ipa,stress,syllabification,notes
figo,word,figo,ˈfi.gu,1,fi-go,
fila,word,fila,ˈfi.lɐ,1,fi-la,
foca,word,foca,ˈfɔ.kɐ,1,fo-ca,
furo,word,furo,ˈfu.ɾu,1,fu-ro,r intervocálico=tap
gato,word,gato,ˈga.tu,1,ga-to,
gelo,word,gelo,ˈʒe.lu,1,ge-lo,
gira,word,gira,ˈʒi.ɾɐ,1,gi-ra,
gola,word,gola,ˈgɔ.lɐ,1,go-la,
guri,word,guri,guˈɾi,2,gu-ri,oxítona
jaca,word,jaca,ˈʒa.kɐ,1,ja-ca,
jato,word,jato,ˈʒa.tu,1,ja-to,
jipe,word,jipe,ˈʒi.pi,1,ji-pe,
jogo,word,jogo,ˈʒo.gu,1,jo-go,
juba,word,juba,ˈʒu.bɐ,1,ju-ba,
lama,word,lama,ˈlɐ.mɐ,1,la-ma,
leve,word,leve,ˈlɛ.vi,1,le-ve,
lima,word,lima,ˈli.mɐ,1,li-ma,
lona,word,lona,ˈlo.nɐ,1,lo-na,
lupa,word,lupa,ˈlu.pɐ,1,lu-pa,
mala,word,mala,ˈma.lɐ,1,ma-la,
medo,word,medo,ˈme.du,1,me-do,
mesa,word,mesa,ˈme.zɐ,1,me-sa,s intervocálico=/z/
mico,word,mico,ˈmi.ku,1,mi-co,
mola,word,mola,ˈmɔ.lɐ,1,mo-la,
mula,word,mula,ˈmu.lɐ,1,mu-la,
nabo,word,nabo,ˈna.bu,1,na-bo,
nene,word,nene,ˈnɛ.ni,1,ne-ne,
neto,word,neto,ˈnɛ.tu,1,ne-to,
nido,word,nido,ˈni.du,1,ni-do,
nota,word,nota,ˈnɔ.tɐ,1,no-ta,
nuca,word,nuca,ˈnu.kɐ,1,nu-ca,
pato,word,pato,ˈpa.tu,1,pa-to,
pena,word,pena,ˈpe.nɐ,1,pe-na,
pico,word,pico,ˈpi.ku,1,pi-co,
pipa,word,pipa,ˈpi.pɐ,1,pi-pa,
polo,word,polo,ˈpo.lu,1,po-lo,
pula,word,pula,ˈpu.lɐ,1,pu-la,
puma,word,puma,ˈpu.mɐ,1,pu-ma,
rabo,word,rabo,ˈʁa.bu,1,ra-bo,
rede,word,rede,ˈʁe.dʒi,1,re-de,
rima,word,rima,ˈʁi.mɐ,1,ri-ma,
roda,word,roda,ˈʁɔ.dɐ,1,ro-da,
ruga,word,ruga,ˈʁu.gɐ,1,ru-ga,
sapo,word,sapo,ˈsa.pu,1,sa-po,
sela,word,sela,ˈsɛ.lɐ,1,se-la,
sino,word,sino,ˈsi.nu,1,si-no,
sopa,word,sopa,ˈso.pɐ,1,so-pa,
suco,word,suco,ˈsu.ku,1,su-co,
tatu,word,tatu,taˈtu,2,ta-tu,oxítona
tela,word,tela,ˈtɛ.lɐ,1,te-la,
tema,word,tema,ˈte.mɐ,1,te-ma,
tipo,word,tipo,ˈtʃi.pu,1,ti-po,
toca,word,toca,ˈtɔ.kɐ,1,to-ca,
tuba,word,tuba,ˈtu.bɐ,1,tu-ba,
vaca,word,vaca,ˈva.kɐ,1,va-ca,
vale,word,vale,ˈva.li,1,va-le,
vela,word,vela,ˈvɛ.lɐ,1,ve-la,
vida,word,vida,ˈvi.dɐ,1,vi-da,
voto,word,voto,ˈvo.tu,1,vo-to,
xale,word,xale,ˈʃa.li,1,xa-le,
xica,word,xica,ˈʃi.kɐ,1,xi-ca,
xixi,word,xixi,ʃiˈʃi,2,xi-xi,oxítona
xote,word,xote,ˈʃɔ.tʃi,1,xo-te,
xuxu,word,xuxu,ʃuˈʃu,2,xu-xu,oxítona
zaga,word,zaga,ˈza.gɐ,1,za-ga,
zape,word,zape,ˈza.pi,1,za-pe,
zero,word,zero,ˈzɛ.ɾu,1,ze-ro,
zona,word,zona,ˈzo.nɐ,1,zo-na,
zulu,word,zulu,zuˈlu,2,zu-lu,oxítona
